Nome do Estádio,Capacidade,Latitude,Longitude
Maracanã,78.838,-22.9122,-43.2302
Mineirão,61.846,-19.8644,-43.9692
Mané Garrincha,72.788,-15.7833,-47.8994
Arena Corinthians,49.205,-23.5475,-46.4736
Morumbi,67.428,-23.6022,-46.6992
Beira-Rio,50.128,-30.0658,-51.2356
Castelão,63.903,-3.7183,-38.5431
Arena da Baixada,43.000,-25.4414,-49.2765
Fonte Nova,50.000,-12.9783,-38.5042
Arena Pernambuco,46.154,-8.0097,-34.9507
Arena do Grêmio,60.540,-30.0658,-51.2356
Vila Belmiro,16.068,-23.9628,-46.3333
Ilha do Retiro,32.983,-8.0503,-34.9014
Pacaembu,40.199,-23.5478,-46.6514
Barradão,30.618,-12.9542,-38.4506
Arena Fonte Nova,47.907,-12.9783,-38.5042
Couto Pereira,40.502,-25.4194,-49.2611
Nilton Santos,46.931,-22.8933,-43.2903
São Januário,21.880,-22.9031,-43.2292
Durival de Britto,20.083,-25.4433,-49.2631