Equipe de Futebol,Treinador,Capitão,Divisão,Site
Flamengo,Renato Gaúcho,Diego Alves,1ª,www.flamengo.com.br
Palmeiras,Abel Ferreira,Felipe Melo,1ª,www.palmeiras.com.br
São Paulo,Hernán Crespo,Daniel Alves,1ª,www.saopaulofc.net
Corinthians,Vagner Mancini,Fábio Santos,1ª,www.corinthians.com.br
Santos,Fernando Diniz,John,1ª,www.santosfc.com.br
Internacional,Miguel Ángel Ramírez,Rodrigo Dourado,1ª,www.internacional.com.br
Grêmio,Tiago Nunes,Geromel,1ª,www.gremio.net
Atlético Mineiro,Cuca,Réver,1ª,www.atletico.com.br
Fluminense,Roger Machado,Nino,1ª,www.fluminense.com.br
Athletico Paranaense,António Oliveira,Thiago Heleno,1ª,www.athletico.com.br
Ceará,Guto Ferreira,Luiz Otávio,1ª,www.cearasc.com
Fortaleza,Juan Pablo Vojvoda,Wellington Paulista,1ª,www.fortalezaec.net
Bahia,Dado Cavalcanti,Conti,1ª,www.esporteclubebahia.com.br
Sport,Umberto Louzer,Thyere,1ª,www.sportrecife.com.br
Juventude,Marquinhos Santos,Wescley,1ª,www.juventude.com.br
Coritiba,Gustavo Morínigo,Wilson,2ª,www.coritiba.com.br
Botafogo,Marcelo Chamusca,Pedro Castro,2ª,www.botafogo.com.br
Avaí,Claudinei Oliveira,Betão,2ª,www.avai.com.br
Guarani,Allan Aal,Pablo,2ª,www.guaranifc.com.br
Náutico,Hélio dos Anjos,Rhaldney,2ª,www.nautico-pe.com.br